Transaction ID,Date,Customer Name,Product Category,Product Name,Quantity,Price,Total Amount,Payment Method,Country
9892,12/11/2024,Maria Lopez,Electronics,Laptop,3,10.5,407.65,Debit,India
7338,"Dec 11, 2024",Jane Smith,Vegetables,Tomato,1,8,480.87,Paypal,U.S.A.
5686,2024/12/09,Maria Lopez,Fruits,Apple,10,10.5,368.19,Debit,
6158,2024/12/09,John Doe,,,,10.5,288.09,Paypal,India
9475,2024/12/09,Jane Smith,Clothing,Shirt,3,15.0,143.44,CASH,USA
5780,2024/12/09,John Doe,Vegetables,Tomato,3,,,CASH,
3950,12/11/2024,Jane Smith,Electronics,Laptop,2,8,269.3,Credit Card,U.S.A.
7387,"Dec 11, 2024",Jane Smith,Electronics,Laptop,Five,,402.9,,India
6461,12/11/2024,,Clothing,Shirt,10,15.0,91.94,Credit Card,INDIA
7600,,Wei Zhang,Electronics,Laptop,,,458.58,CASH,USA
7894,2024/12/09,Ali Khan,Vegetables,Tomato,1,8,339.57,CASH,United States
9737,2024/12/09,Wei Zhang,Vegetables,Banana,3,20.0,69.66,Credit Card,
8841,12/11/2024,Maria Lopez,Fruits,Apple,3,8,257.07,,Germany
8951,,Wei Zhang,Electronics,Laptop,1,10.5,204.96,,India
7799,2024/12/09,Ali Khan,Fruits,Apple,3,20.0,94.09,Cash,Germany
4516,2024-12-10,Jane Smith,Electronics,Laptop,2,15 USD,,Debit,
7232,"Dec 11, 2024",Maria Lopez,Fruits,Apple,2,15 USD,282.19,Cash,USA
5895,,,Clothing,Shirt,10,15 USD,234.36,CASH,
6187,2024-12-10,,Vegetables,Banana,1,20.0,450.31,Paypal,Germany
8117,12/11/2024,,Fruits,Apple,1,20.0,177.23,Debit,China
3455,2024/12/09,,Electronics,Laptop,,15 USD,,,INDIA
9732,2024/12/09,Ali Khan,Household,Table,Five,10.5,301.43,Cash,INDIA
1706,,Wei Zhang,Household,Table,1,15.0,140.64,Paypal,
8632,2024/12/09,,,,,,76.93,Credit Card,China
1199,"Dec 11, 2024",Jane Smith,,,3,10.5,206.65,CASH,U.S.A.
6692,"Dec 11, 2024",,,,Five,,340.54,Debit,
0,2024-12-10,Wei Zhang,Electronics,Laptop,Five,15.0,11.87,Credit Card,
1589,2024-12-10,Wei Zhang,Household,Table,3,10.5,447.13,,
5697,12/11/2024,,Clothing,Shirt,10,15.0,326.71,Debit,India
7516,2024/12/09,,Electronics,Table,1,15.0,184.41,Cash,United States
2108,"Dec 11, 2024",Jane Smith,Electronics,Laptop,3,8,355.71,CASH,INDIA
4951,2024-12-10,,,,2,15 USD,40.27,Cash,USA
6497,12/11/2024,Ali Khan,Electronics,Laptop,Five,15.0,335.84,CASH,
1847,"Dec 11, 2024",Wei Zhang,,,2,8,22.89,CASH,USA
6362,"Dec 11, 2024",Jane Smith,Household,Table,2,15 USD,202.49,Debit,China
3964,"Dec 11, 2024",,Household,Table,Five,,244.88,Cash,
5031,,Ali Khan,Fruits,Apple,3,10.5,284.77,Debit,China
7202,12/11/2024,,Clothing,Shirt,2,15.0,447.1,Paypal,U.S.A.
5602,12/11/2024,Ali Khan,Fruits,Apple,3,10.5,220.61,Debit,U.S.A.
9123,2024-12-10,,Household,Table,1,8,47.28,,China
0,12/11/2024,Ali Khan,Electronics,Laptop,2,,181.8,Paypal,Germany
2787,12/11/2024,John Doe,Fruits,Apple,10,20.0,35.91,Cash,U.S.A.
2499,,,Fruits,Apple,10,8,283.19,Cash,INDIA
3816,2024-12-10,,Vegetables,Tomato,3,15.0,,Cash,United States
5051,2024/12/09,Wei Zhang,Fruits,Banana,3,20.0,339.72,CASH,Germany
6328,12/11/2024,,Fruits,Apple,2,20.0,,CASH,China
1791,,Ali Khan,,,3,8,110.63,,China
8902,2024/12/09,Wei Zhang,Vegetables,Tomato,2,,,CASH,INDIA
4566,12/11/2024,Wei Zhang,Clothing,Shirt,2,20.0,214.79,Paypal,
2520,2024-12-10,,Vegetables,Tomato,1,15 USD,113.2,Paypal,
1241,2024/12/09,Wei Zhang,,,10,10.5,267.31,Credit Card,United States
3554,12/11/2024,,Fruits,Apple,2,10.5,445.33,Cash,United States
0,"Dec 11, 2024",Jane Smith,Vegetables,Tomato,2,8,482.41,Debit,
1250,2024/12/09,Maria Lopez,Vegetables,Tomato,,15 USD,330.41,Cash,United States
2322,2024-12-10,,Vegetables,Tomato,10,20.0,495.88,Cash,
2571,12/11/2024,Jane Smith,Household,Table,10,10.5,235.04,Debit,
8672,2024/12/09,Maria Lopez,Clothing,Shirt,3,15.0,,Credit Card,United States
6858,2024/12/09,John Doe,Household,Table,1,,165.24,CASH,U.S.A.
3518,12/11/2024,Wei Zhang,Household,Table,2,15.0,447.46,,INDIA
8313,2024/12/09,,Clothing,Shirt,,,108.5,Credit Card,Germany
4122,,Maria Lopez,Electronics,Table,Five,8,168.0,,United States
8358,12/11/2024,,Clothing,Shirt,1,8,194.65,Debit,India
4518,12/11/2024,Ali Khan,Fruits,Apple,1,15.0,34.32,Paypal,India
6575,2024/12/09,Jane Smith,Vegetables,Banana,1,,281.95,Paypal,USA
6207,2024/12/09,Jane Smith,Vegetables,Tomato,10,,62.57,Debit,United States
1450,"Dec 11, 2024",John Doe,Vegetables,Tomato,,,430.61,Cash,United States
7436,12/11/2024,Wei Zhang,,,10,8,433.33,,India
8084,2024-12-10,,Household,Table,3,,229.67,CASH,China
5978,,Wei Zhang,,,10,15 USD,60.14,Cash,United States
2072,2024/12/09,Ali Khan,,,,,468.07,Cash,U.S.A.
7529,"Dec 11, 2024",,,,2,,231.47,Cash,
2186,2024-12-10,,Household,Table,1,,217.53,Credit Card,USA
2723,,Jane Smith,Vegetables,Tomato,2,15 USD,95.35,,China
6696,2024/12/09,Jane Smith,Household,Table,2,10.5,72.05,Cash,
8536,,Ali Khan,Fruits,Apple,2,10.5,248.32,Cash,China
8808,12/11/2024,,,,3,10.5,296.64,Credit Card,Germany
7132,2024-12-10,,Fruits,Apple,1,8,19.84,Credit Card,Germany
7685,,John Doe,Fruits,Apple,2,15.0,272.25,Debit,U.S.A.
8420,12/11/2024,John Doe,Electronics,Laptop,3,15 USD,,Paypal,USA
2869,12/11/2024,Maria Lopez,,,1,20.0,395.71,Cash,India
1953,12/11/2024,,,,2,15.0,259.08,,INDIA
2733,2024/12/09,,Clothing,Shirt,,15.0,156.02,Paypal,United States
1434,2024/12/09,John Doe,Vegetables,Tomato,3,15.0,263.6,Cash,India
7145,12/11/2024,Maria Lopez,Clothing,Shirt,2,10.5,324.56,,Germany
9347,"Dec 11, 2024",Maria Lopez,Electronics,Laptop,2,20.0,445.51,Debit,U.S.A.
5380,2024-12-10,Ali Khan,Household,Table,Five,10.5,170.31,,India
5036,12/11/2024,,Fruits,Apple,1,20.0,,Paypal,USA
4283,2024-12-10,Maria Lopez,Clothing,Shirt,1,8,318.81,Paypal,
8012,2024-12-10,Jane Smith,Household,Table,Five,15.0,25.79,Paypal,
3587,2024-12-10,Ali Khan,Fruits,Apple,10,8,153.38,CASH,U.S.A.
8959,"Dec 11, 2024",John Doe,Clothing,Shirt,,20.0,,Debit,USA
3413,12/11/2024,Ali Khan,Clothing,Shirt,3,10.5,188.78,Debit,USA
5258,"Dec 11, 2024",,Fruits,Apple,10,15 USD,394.56,,Germany
1261,"Dec 11, 2024",,Electronics,Table,2,10.5,,Cash,India
7426,12/11/2024,Ali Khan,,,10,15 USD,421.88,Debit,Germany
6244,,Maria Lopez,,,2,10.5,467.29,CASH,India
8173,2024-12-10,John Doe,Household,Table,3,15.0,210.37,Paypal,
1651,2024-12-10,Maria Lopez,Clothing,Shirt,,10.5,253.53,Credit Card,U.S.A.
4287,2024-12-10,Maria Lopez,Household,Table,,,119.39,Credit Card,USA
1020,"Dec 11, 2024",Jane Smith,Electronics,Laptop,,20.0,438.84,Paypal,Germany
1930,,John Doe,Household,Table,2,8,390.11,,China
8589,2024-12-10,John Doe,Household,Table,2,15 USD,406.27,Debit,Germany
6038,2024/12/09,Wei Zhang,Vegetables,Tomato,Five,15.0,470.79,,USA
2760,"Dec 11, 2024",,Vegetables,Tomato,,10.5,167.7,Paypal,United States
8576,2024-12-10,,Fruits,Banana,10,15 USD,445.07,Cash,United States
3250,"Dec 11, 2024",John Doe,Fruits,Apple,Five,20.0,31.46,Cash,USA
4772,"Dec 11, 2024",John Doe,,,10,15.0,,Credit Card,USA
9583,2024-12-10,Maria Lopez,Electronics,Table,2,20.0,254.29,Paypal,U.S.A.
6657,,,,,Five,,65.47,Cash,China
5606,2024-12-10,Jane Smith,Fruits,Apple,1,15.0,472.41,Cash,United States
4212,12/11/2024,Jane Smith,Household,Table,Five,10.5,,Debit,U.S.A.
4520,,,Electronics,Table,3,,241.88,,India
2050,2024/12/09,Wei Zhang,Clothing,Shirt,3,20.0,19.61,CASH,
6334,"Dec 11, 2024",Jane Smith,Vegetables,Tomato,10,,180.09,Paypal,U.S.A.
5698,"Dec 11, 2024",Wei Zhang,Vegetables,Tomato,1,8,439.67,Credit Card,India
2094,12/11/2024,,,,,10.5,,Cash,U.S.A.
3722,,Maria Lopez,Vegetables,Tomato,,8,,CASH,India
4330,,Ali Khan,Fruits,Banana,2,15 USD,192.15,Debit,U.S.A.
9925,12/11/2024,Ali Khan,,,1,10.5,490.31,,China
4576,12/11/2024,Ali Khan,Household,Table,,10.5,434.59,Cash,
9962,"Dec 11, 2024",,Electronics,Laptop,10,,278.89,Cash,INDIA
9886,2024/12/09,,Clothing,Shirt,2,20.0,241.28,Debit,China
7433,2024-12-10,Maria Lopez,Household,Table,10,,467.28,,INDIA
9800,12/11/2024,John Doe,Fruits,Apple,Five,8,375.54,Paypal,India
9410,12/11/2024,Wei Zhang,Household,Table,Five,10.5,,Paypal,China
8563,"Dec 11, 2024",,Clothing,Shirt,1,15 USD,195.49,,
8904,"Dec 11, 2024",Maria Lopez,Clothing,Shirt,3,15.0,26.24,Credit Card,
8178,2024/12/09,John Doe,Vegetables,Tomato,,15.0,328.17,Credit Card,United States
9310,12/11/2024,Maria Lopez,Fruits,Apple,,,104.13,Paypal,
3249,12/11/2024,Jane Smith,Clothing,Shirt,,20.0,261.24,CASH,
9247,12/11/2024,Wei Zhang,Fruits,Apple,2,8,326.92,Debit,China
9562,2024/12/09,Ali Khan,,,,15 USD,71.42,Debit,
8231,2024/12/09,Wei Zhang,Vegetables,Tomato,10,,283.53,Debit,United States
9028,,,Fruits,Banana,3,10.5,265.2,CASH,United States
8915,2024-12-10,Jane Smith,Vegetables,Tomato,2,,214.89,Paypal,Germany
2504,"Dec 11, 2024",,Fruits,Apple,Five,15.0,397.61,Debit,
6924,,,Vegetables,Tomato,1,,51.61,CASH,United States
5876,,Maria Lopez,Fruits,Banana,2,15.0,146.73,Debit,U.S.A.
9830,12/11/2024,Wei Zhang,Vegetables,Tomato,Five,,,Cash,United States
3256,2024/12/09,Wei Zhang,Vegetables,Banana,2,20.0,,Paypal,China
8733,2024-12-10,Ali Khan,Clothing,Shirt,Five,,14.81,Cash,U.S.A.
9591,"Dec 11, 2024",Ali Khan,Vegetables,Tomato,2,,147.19,,
1731,2024/12/09,Maria Lopez,Fruits,Apple,,15 USD,149.66,Cash,United States
6473,"Dec 11, 2024",Wei Zhang,Fruits,Apple,1,10.5,,,U.S.A.
5990,,,Electronics,Laptop,,15.0,459.53,CASH,
3273,,Maria Lopez,Fruits,Apple,Five,20.0,205.11,Debit,India
3428,2024/12/09,John Doe,,,3,15 USD,443.51,CASH,Germany
8924,12/11/2024,,Fruits,Apple,,,396.92,Paypal,
1903,2024/12/09,,Electronics,Table,1,15 USD,,,Germany
6689,2024-12-10,Ali Khan,,,3,,144.56,CASH,U.S.A.
8518,2024/12/09,John Doe,Electronics,Laptop,10,15.0,52.04,CASH,China
3733,2024/12/09,Wei Zhang,Clothing,Shirt,1,8,429.34,CASH,China
9892,"Dec 11, 2024",Jane Smith,Vegetables,Tomato,2,,,Debit,China
1307,2024/12/09,,Household,Table,3,20.0,424.87,Credit Card,INDIA
9995,2024-12-10,Wei Zhang,Fruits,Apple,Five,,396.0,Debit,Germany
4978,,,Vegetables,Banana,1,15.0,74.75,Debit,Germany
7702,,Wei Zhang,,,2,10.5,337.56,Debit,India
9531,12/11/2024,Wei Zhang,Fruits,Apple,2,20.0,461.82,CASH,China
6382,,Maria Lopez,Electronics,Laptop,3,15.0,83.53,CASH,
8605,"Dec 11, 2024",,Electronics,Laptop,2,20.0,79.59,,Germany
9822,12/11/2024,Jane Smith,Vegetables,Tomato,Five,10.5,101.92,Credit Card,United States
2788,,Jane Smith,Electronics,Laptop,10,10.5,72.67,Debit,Germany
2010,2024/12/09,Jane Smith,Clothing,Shirt,1,,181.93,Cash,U.S.A.
8972,2024-12-10,,Fruits,Apple,2,15.0,,CASH,INDIA
4753,2024-12-10,Ali Khan,Electronics,Laptop,3,15.0,126.74,Credit Card,U.S.A.
8280,2024/12/09,Jane Smith,Electronics,Laptop,2,15.0,75.03,Debit,INDIA
1146,2024/12/09,Wei Zhang,Household,Table,,,371.23,CASH,U.S.A.
1055,"Dec 11, 2024",Wei Zhang,Fruits,Apple,2,10.5,51.58,Debit,India
5785,2024-12-10,,Vegetables,Tomato,1,8,472.26,Debit,U.S.A.
5355,12/11/2024,Jane Smith,Vegetables,Tomato,1,8,50.69,,INDIA
6144,12/11/2024,Wei Zhang,Vegetables,Tomato,10,,327.36,,Germany
8900,12/11/2024,,Vegetables,Tomato,1,,474.47,Debit,INDIA
2048,,,Clothing,Shirt,3,15 USD,451.86,Credit Card,USA
3188,12/11/2024,Jane Smith,Vegetables,Tomato,2,20.0,117.21,Debit,USA
9451,12/11/2024,Ali Khan,Household,Table,2,,126.29,Cash,
4200,2024/12/09,Maria Lopez,Electronics,Laptop,3,20.0,,Paypal,China
2575,2024-12-10,John Doe,Fruits,Apple,3,10.5,497.37,Debit,U.S.A.
1712,2024-12-10,Wei Zhang,Electronics,Laptop,,20.0,,Paypal,INDIA
9064,2024-12-10,Ali Khan,,,2,15.0,,Paypal,India
9297,12/11/2024,Ali Khan,Clothing,Shirt,10,,,Cash,India
1817,12/11/2024,Ali Khan,Clothing,Shirt,10,10.5,450.65,CASH,U.S.A.
2156,"Dec 11, 2024",,Household,Table,10,8,495.15,Credit Card,China
6385,12/11/2024,Jane Smith,Fruits,Apple,10,20.0,424.9,Debit,USA
5432,2024/12/09,John Doe,Vegetables,Banana,10,10.5,25.21,,U.S.A.
5498,2024/12/09,Wei Zhang,Vegetables,Tomato,Five,,111.21,,China
9372,,Ali Khan,Clothing,Shirt,3,10.5,58.27,Credit Card,China
4178,,Maria Lopez,Household,Table,Five,15.0,,Cash,India
2035,2024-12-10,Jane Smith,Electronics,Laptop,,8,461.41,,India
8814,,Wei Zhang,Fruits,Apple,Five,,98.94,Cash,U.S.A.
3153,2024-12-10,Ali Khan,Household,Table,1,15.0,,Cash,USA
5204,"Dec 11, 2024",Ali Khan,Electronics,Laptop,Five,20.0,,CASH,Germany
8944,12/11/2024,,Vegetables,Tomato,2,10.5,441.42,,
1973,2024/12/09,John Doe,Clothing,Shirt,3,10.5,41.66,Paypal,Germany
8688,12/11/2024,Maria Lopez,Electronics,Laptop,2,20.0,65.84,Cash,United States
6923,2024/12/09,Wei Zhang,Household,Table,,8,274.99,Paypal,China
8435,2024/12/09,Jane Smith,,,3,,133.04,Debit,INDIA
9388,"Dec 11, 2024",Maria Lopez,Household,Table,3,10.5,,Credit Card,China
8528,12/11/2024,Maria Lopez,Vegetables,Banana,3,20.0,382.88,Debit,United States
1299,,Ali Khan,,,Five,20.0,143.21,,India
2281,"Dec 11, 2024",,Vegetables,Tomato,3,15 USD,441.59,CASH,India
6185,,Jane Smith,,,Five,15.0,,,Germany
3944,,,Clothing,Shirt,,15.0,166.71,CASH,India
6669,2024/12/09,Ali Khan,Household,Table,10,10.5,109.25,,Germany
3956,12/11/2024,,Household,Table,3,8,,,U.S.A.
6772,,John Doe,Vegetables,Tomato,1,10.5,424.12,Paypal,
6430,,Wei Zhang,Electronics,Laptop,,10.5,322.05,Credit Card,INDIA
9662,"Dec 11, 2024",,,,Five,15 USD,48.45,,U.S.A.
8521,12/11/2024,,Household,Table,1,20.0,421.46,Cash,
6091,"Dec 11, 2024",John Doe,Household,Table,10,15.0,,,India
9943,"Dec 11, 2024",John Doe,Fruits,Apple,1,20.0,86.3,,USA
8502,"Dec 11, 2024",John Doe,,,,8,315.46,Credit Card,INDIA
3154,12/11/2024,Maria Lopez,Fruits,Apple,3,,362.02,Credit Card,
6153,"Dec 11, 2024",Jane Smith,Household,Table,2,20.0,428.09,CASH,INDIA
7872,12/11/2024,Jane Smith,Fruits,Apple,2,10.5,422.13,Paypal,U.S.A.
9882,"Dec 11, 2024",,Electronics,Table,3,8,,,United States
9633,,,Household,Table,,15.0,61.06,Cash,USA
9149,,,Household,Table,Five,15 USD,270.09,Cash,China
8449,"Dec 11, 2024",,Electronics,Laptop,,15.0,173.78,Paypal,Germany
3815,"Dec 11, 2024",,,,3,,465.23,Debit,United States
3416,2024/12/09,Wei Zhang,Fruits,Apple,2,,201.77,Debit,China
6096,2024/12/09,Maria Lopez,Vegetables,Tomato,2,8,55.94,Cash,India
8192,,Ali Khan,Electronics,Laptop,,15 USD,202.68,CASH,India
1570,12/11/2024,,Clothing,Shirt,10,,218.25,Debit,India
5007,12/11/2024,Jane Smith,Household,Table,,10.5,146.28,CASH,United States
3736,,Wei Zhang,Clothing,Shirt,1,20.0,144.76,Cash,USA
4144,2024-12-10,John Doe,Fruits,Banana,10,10.5,154.74,Paypal,Germany
2815,,Ali Khan,,,Five,15.0,451.79,Cash,
